Paper Title,First Author,Venue,Year,Task,Dataset,Key Method,GitHub Link,Download Link,Relevance to QCXR-Flamingo,Notes
R2GenGPT: Radiology Report Generation with Frozen LLMs,Zhanyu Wang,Preprint (Elsevier),2023,CXR Report Generation,IU-Xray / MIMIC-CXR,Frozen LLM + Swin-T + Linear Visual Mapper (Shallow/Delta/Deep),https://github.com/wang-zhanyu/R2GenGPT,https://arxiv.org/pdf/2309.09812,⭐⭐⭐⭐⭐ Primary Baseline,"Proposed R2GenGPT, which aligns visual features with the word embedding space of LLMs using an efficient visual alignment module. Employs delta tuning to freeze the LLM entirely, serving as a direct and critical baseline for our QCXR-Flamingo architecture."
Enhanced Contrastive Learning with Multi-view Longitudinal Data for CXR Report Generation,Kang Liu,CVPR,2025,CXR Report Generation,MIMIC-CXR,Multi-view contrastive learning with longitudinal data,https://github.com/mk-runner/MLRG,https://arxiv.org/pdf/2502.20056,⭐⭐⭐ High,Introduces MLRG to facilitate CXR report generation using enhanced contrastive learning with multi-view longitudinal data. Focuses on integrating spatial and temporal information to track disease progression.
FactCheXcker: Mitigating Measurement Hallucinations in CXR Report Generation,Alice Heiman,CVPR,2025,CXR Report Generation,MIMIC-CXR,Hallucination mitigation for measurements,https://github.com/rajpurkarlab/FactCheXcker,https://arxiv.org/pdf/2411.18672,⭐⭐ Medium,Mitigates measurement hallucinations in CXR report generation using a modular framework and code generation capabilities from LLMs. Employs a query-code-update paradigm to accurately extract measurable findings.
A Disease-Aware Dual-Stage Framework for Chest X-ray Report Generation,Puzhen Wu,AAAI,2026,CXR Report Generation,MIMIC-CXR,Disease-aware alignment + self-correction,Unavailable,https://arxiv.org/pdf/2511.12259,⭐⭐ Medium,"Introduces a dual-stage disease-aware framework. Stage 1 learns Disease-Aware Semantic Tokens (DASTs) via multi-label classification. Stage 2 uses a Disease-Visual Attention Fusion module to integrate features, significantly improving disease-awareness."
CXPMRG-Bench: Pre-training and Benchmarking for X-ray Medical Report Generation,Xiao Wang,CVPR,2025,CXR Report Generation,CheXpert Plus,Benchmark + pre-training on CheXpert+,https://github.com/Event-AHU/Medical_Image_Analysis,https://arxiv.org/pdf/2410.00379,⭐⭐ Medium,"Provides a comprehensive pre-training and benchmarking framework specifically tailored for X-ray medical report generation using the CheXpert Plus dataset, addressing the limitation of undocumented comparative evaluation baselines."
VILA-M3: Enhancing Vision-Language Models with Medical Expert Knowledge,Vishwesh Nath,CVPR,2025,CXR Report Generation,MIMIC-CXR,VLM + medical expert knowledge,https://github.com/Project-MONAI/VLM-Radiology-Agent-Framework,https://arxiv.org/pdf/2411.12915,⭐⭐ Medium,Enhances generalist Vision-Language Models (like LLaVA) by introducing a specialized fourth phase of Instruction Fine-Tuning. It integrates domain expert models and medical expert knowledge to outperform standard generalist VLMs in healthcare applications.
MedRegA: Interpretable Bilingual Multimodal LLM for Diverse Biomedical Tasks,Lehan Wang,ICLR,2025,Multimodal Medical AI,CheXpert / IU-Xray / MIMIC-CXR,Bilingual multimodal LLM with region-grounding,https://github.com/xmed-lab/MedRegA,https://arxiv.org/pdf/2410.18387,⭐⭐ Medium,"Proposes the first interpretable, bilingual, generalist MLLM that explicitly handles both image-level and region-level medical tasks. Employs MedRegInstruct dataset to enable detailed anatomical region grounding."
Learning Self-Critiquing Mechanisms for Region-Guided CXR Report Generation,Sixing Yan,ICLR,2026,CXR Report Generation,MIMIC-CXR,Self-critiquing + region-guided generation,https://github.com/jacobgil/pytorch-grad-cam,ICLR 2026 Proceedings,⭐⭐⭐ High,"Presents the RadSCR framework, which introduces a self-critiquing mechanism independent of costly LLMs. It end-to-end learns to identify and verify abnormality regions by comparing against alternative hypotheses and pseudo-negatives before generating the report."
Rethinking Radiology Report Generation: From Narrative Flow to Topic-Guided Findings,Sheng Cheng,ICLR,2026,CXR Report Generation,MIMIC-CXR,Topic-guided narrative generation,Unavailable,ICLR 2026 Proceedings,⭐⭐ Medium,"Argues against optimizing models for pure narrative flow, which causes over-reliance on linguistic priors instead of visual grounding. Introduces LLaVA-TA, which decomposes reports into anatomically-grounded independent topics to improve factual accuracy."
GEMeX: A Large-Scale Groundable and Explainable Medical VQA Benchmark,Bo Liu,ICCV,2025,Medical VQA + CXR,MIMIC-CXR,Grounded + explainable VQA benchmark,Unavailable,https://arxiv.org/pdf/2411.16778,⭐⭐ Medium,A large-scale benchmark for Medical VQA providing multi-modal explainability. Offers both textual and visual explanations for questions to enhance answer comprehensibility for diagnosis.
